,Ozone,CO,NO2,PM25,PM10
KGR,0.4342307276435254,0.7021277933900071,0.5362063096357739,0.5685065430683476,0.5148401490048917
LinearRegression,0.5747011873454394,0.6782396768903101,0.5883847695576084,0.5640235352108887,0.5835436277156142
RidgeRegression,0.5987692677012664,0.9084595322793559,0.6215107630929653,0.6010163984007939,0.6142258332647369
LassoRegression,0.6059573459504957,1.0501222952494678,0.631902841028363,0.6098411440658945,0.6279176321621431
GLSKGR,0.4102017411204362,0.6838648469662773,0.5219456220383413,0.5524339867413586,0.465912092766937
