,Ozone,CO,NO2,PM25,PM10
KGR,0.5435150983228334,0.7742888031590992,0.6723918493384027,0.6966320429776433,0.6112435640394629
LinearRegression,0.765799798774308,0.789154895367427,0.7634478202588796,0.7986271125794747,0.7540943653420434
RidgeRegression,0.7688848229757106,0.7977507007656667,0.7737267692881186,0.802728198742419,0.7576521285074177
LassoRegression,0.7700793445223215,0.8495245732504316,0.7759096589590884,0.804772039507205,0.759403911444556
GLSKGR,0.5613622128390412,0.8005342718553596,0.7284829496121361,0.733004429992164,0.6362838977340701
