,Ozone,CO,NO2,PM25,PM10
KGR,0.644421206675043,0.8207122937731731,0.6912477533473224,0.7512740259706226,0.6728030639268215
LinearRegression,1.1276376116519338,2.463883270133622,1.0311265808119192,1.1715648301911343,1.1784285186155208
RidgeRegression,0.7298939607869788,0.9704285988006867,0.7316049937871782,0.7819491969140612,0.719501163077335
LassoRegression,0.7283141901929902,0.9881619232767768,0.729698259505348,0.7763422329884625,0.7222569245913577
GLSKGR,0.6539585600421471,0.8438997964749204,0.7201835686869128,0.7809127660104764,0.6899985419694333
