,Ozone,CO,NO2,PM25,PM10
KGR,0.7127745569181582,0.8734058372460065,0.6979487388273945,0.793407689713066,0.7133712548609646
LinearRegression,1.4516029317483257,3.524283634024232,1.2802987107764066,1.5065067457513712,1.5398997525651856
RidgeRegression,0.6723273592112584,1.1432535558904264,0.6858454164196893,0.7573613767860419,0.6668268443018625
LassoRegression,0.6673366283569446,1.130846494003389,0.6789799370800171,0.7425579619880581,0.6706567838205107
GLSKGR,0.7173921229349299,0.8969506333711258,0.7053837994867148,0.8165909759327443,0.7214127698901235
